,NSGAIIITA_Hypervolume,NSGAIIITA_GenerationalDistance,NSGAIIITA_Spacing,NSGAIIITA_Contribution,KRRGZ_Hypervolume,KRRGZ_GenerationalDistance,KRRGZ_Spacing,KRRGZ_Contribution
1,0.7476409712916281,0.000199005644493912,82.25870449510843,0.8941908713692946,0.7244643901140497,0.0011020842018539428,131.01124763480425,0.10580912863070539
2,0.7809318952061582,0.0004188075010390342,193.59714155119997,0.9317697228144989,0.7594181727682003,0.001213615096260564,107.87325480667332,0.06823027718550106
3,0.7427630527441527,0.0002144436354098777,123.48352536310813,0.9252525252525252,0.7188479037068946,0.00140133720295445,62.28887299997454,0.07474747474747474
4,0.7702583739313357,0.0017889006668547415,201.23292234241833,0.9273127753303965,0.7517801960571425,0.0011572263728510082,73.19142022683384,0.07268722466960352
5,0.7301930738571915,0.000386839882127872,265.464884159107,0.9311740890688259,0.7002698203898261,0.001034978063403221,92.50178736061892,0.06882591093117409
6,0.7438323889494455,0.0006568557184373868,271.7226959079401,0.9278557114228457,0.7131181614409822,0.001366535896204397,89.1829969549944,0.07214428857715431
7,0.7322887339225996,0.0001681281816262997,122.6529697632743,0.9311023622047244,0.7079274072305604,0.0010381047334491146,82.84880679185905,0.0688976377952756
8,0.7421657068102865,0.00010229946022014234,91.69134378532708,0.9694501018329938,0.7046587397544243,0.0015642732785181989,130.79311180533875,0.03054989816700611
9,0.7402417588354159,0.00041134658114409914,121.27968517709263,0.9561586638830898,0.7108526711987285,0.0012391867555321123,63.352131617157006,0.04384133611691023
10,0.7736109405806701,0.0004077584050556158,96.3718144287623,0.9094922737306843,0.749291436953537,0.0014377940095065696,78.56939474787829,0.09050772626931568
